Designator,Mid X,Mid Y,Rotation,Layer
C1,100.1044,-81.0081,0.0,bottom
C10,106.5784,-77.6384,135.0,bottom
C11,104.2924,-89.8652,270.0,bottom
C12,103.5304,-78.53,90.0,bottom
C13,93.472,-71.1708,0.0,bottom
C14,91.948,-75.184,90.0,bottom
C15,110.4392,-87.4776,0.0,bottom
C16,111.3028,-89.662,90.0,bottom
C17,111.4044,-71.9328,135.0,bottom
C2,100.3584,-84.6403,0.0,bottom
C3,110.8714,-81.0843,180.0,bottom
C4,105.3084,-89.8652,270.0,bottom
C5,111.887,-84.582,180.0,bottom
C6,106.4768,-76.4192,135.0,bottom
C7,102.5652,-78.53,90.0,bottom
C8,105.0544,-76.7748,90.0,bottom
C9,100.615,-79.9413,0.0,bottom
D1,91.3384,-103.3044,90.0,bottom
D10,95.25,-104.75,0.0,bottom
D11,114.3,-105.25,0.0,bottom
D12,133.35,-105.25,0.0,bottom
D13,133.35,-124.3,0.0,bottom
D14,114.3,-124.3,0.0,bottom
D15,95.25,-124.3,0.0,bottom
D16,95.25,-143.35,0.0,bottom
D17,114.3,-143.35,0.0,bottom
D18,133.35,-143.35,0.0,bottom
D2,110.363,-103.66,90.0,bottom
D3,129.159,-104.013,90.0,bottom
D4,91.313,-106.045,270.0,bottom
D5,110.236,-106.017,270.0,bottom
D6,129.286,-106.017,270.0,bottom
D7,91.059,-125.349,270.0,bottom
D8,110.3884,-125.3744,270.0,bottom
D9,129.032,-125.349,270.0,bottom
J1,104.8552,-67.7754,180.0,bottom
R1,102.87,-74.422,270.0,bottom
R2,106.6292,-73.8632,90.0,bottom
R3,103.886,-74.47,270.0,bottom
R4,104.8512,-74.47,270.0,bottom
R5,106.3244,-89.6112,90.0,bottom
R6,115.9256,-71.7804,270.0,bottom
R7,114.046,-72.2884,180.0,bottom
SW1,114.0968,-68.9864,180.0,bottom
SW10,133.35,-131.26,0.0,top
SW11,134.5692,-75.6412,0.0,top
SW2,95.25,-93.16,0.0,top
SW3,114.3,-93.16,0.0,top
SW4,133.35,-93.16,0.0,top
SW5,95.25,-112.21,0.0,top
SW6,114.3,-112.21,0.0,top
SW7,133.35,-112.21,0.0,top
SW8,95.25,-131.26,0.0,top
SW9,114.3,-131.26,0.0,top
U1,105.5624,-83.6328,90.0,bottom
U2,97.1804,-75.692,0.0,bottom
U3,112.9156,-75.5252,270.0,bottom
U4,85.1668,-77.47,90.0,top
Y1,108.712,-89.5604,180.0,bottom
